Stand,Transect,Tree,TransectPart,Xcoord,Ycoord,Projection,Datum,elev_ft,YearEstablished,Elev,Slope,Aspect,GrizPCA,Admin,Num.Trees,LongitudeX,LatitudeY
3305,3305.1,3305.1.15,center,476871,4979616,UTM Zone 12,NAD83,8770,2004,2673,16,357,1,Custer Gallatin,2,-111.2933032,44.96960726
3532,3532.4,3532.4.79,center,476216,4977030,UTM Zone 12,NAD83,9052,2004,2759,34,14,1,Custer Gallatin,51,-111.3014874,44.9463068
3567,3567.1,3567.1.50,center,476228,5017196,UTM Zone 12,NAD83,9124,2005,2781,23,124,0,Custer Gallatin,56,-111.3032449,45.30786548
3595,3595.1,3595.1.61,center,492456,5016964,UTM Zone 12,NAD83,8757,2005,2669,19,276,0,Custer Gallatin,4,-111.0962313,45.30613916
3619,3619.1,3619.1.61,center,479203,4975627,UTM Zone 12,NAD83,9469,2004,2886,14,154,1,Custer Gallatin,14,-111.2635666,44.93377077
3641,3641.1,3641.1.85,center,492466,5016690,UTM Zone 12,NAD83,8901,2005,2713,10,271,0,Custer Gallatin,30,-111.0960996,45.30367288
3659,3659.1,3659.1.30,center,478611,5016138,UTM Zone 12,NAD83,8472,2005,2586,20,170,0,Custer Gallatin,53,-111.2728011,45.29841872
3683,3683.1,3683.1.85,center,621875,4972875,UTM Zone 12,NAD83,9853,2004,3003,4,115,1,Shoshone,101,-109.4563771,44.89886809
3796,3796.3,3796.3.88,center,479913,4972821,UTM Zone 12,NAD83,8058,2004,2456,22,246,1,Custer Gallatin,6,-111.2544572,44.90853167
3807,3807.2,3807.2.2,center,624098,4972265,UTM Zone 12,NAD83,9394,2004,2869,19,19,1,Shoshone,7,-109.4283815,44.89299491
3849,3849.1,3849.1.57,center,486587,4971273,UTM Zone 12,NAD83,8622,2004,2628,18,346,1,Custer Gallatin,5,-111.169872,44.89475359
3878,3878.1,3878.1.60,center,529270,5012813,UTM Zone 12,NAD83,9170,2005,2793,27,160,0,Custer Gallatin,104,-110.6268805,45.26820513
3936,3936.1,3936.1.7,center,590565,5010550,UTM Zone 12,NAD83,9617,2005,2931,8,185,0,Custer Gallatin,27,-109.8460402,45.24261426
3941,3941.1,3941.1.56,center,484849,4970635,UTM Zone 12,NAD83,8806,2004,2684,18,248,1,Custer Gallatin,2,-111.1918641,44.88897542
4095,4095.1,4095.1.133,center,487276,4967707,UTM Zone 12,NAD83,8376,2004,2553,15,203,1,Custer Gallatin,157,-111.1610565,44.8626648
4119,4119.1,4119.1.25,center,556027,4967109,UTM Zone 12,NAD83,8498,2004,2590,28,34,1,Yellowstone,12,-110.2909194,44.85519376
4175,4175.1,4175.1.23,center,628675,5004725,UTM Zone 12,NAD83,9039,2005,2755,20,2,0,Custer Gallatin,26,-109.3621261,45.18426426
